ID,Flood depth RP 30000,Flood depth RP 3000,Flood depth RP 300,Flood depth RP 30,Flood depth RP 10,area,Property_value:income
352,0.388199985027313,0,0,0,0,283.672542876799,218.336947555446
353,0.285699993371964,0,0,0,0,8395.85166000583,1471.95932659834
354,0.148750007152557,0,0,0,0,16062.0281214041,2815.9921178704
355,0,0,0,0,0,1570.04360990245,504.890956126293
356,0,0,0,0,0,273.242145597909,87.8685708312903
358,0,0,0,0,0,123.140995560099,39.5993936694184
732,0,0,0,0,0,1921.68185159187,172.302425747549
733,0,0,0,0,0,1917.84037572331,171.957990163659
734,0,0,0,0,0,295.207464143861,26.4689819121904
735,0,0,0,0,0,206.09400418053,18.4788636177809
736,0,0,0,0,0,290.192152141746,26.0192974739837
737,0,0,0,0,0,219.33860435569,19.6664050083321
738,0,0,0,0,0,133.088924781227,11.9330598667737
739,0,0,0,0,0,220.163761251876,19.7403904782565
740,0,0,0,0,0,341.603170226026,30.6289278968003
741,0,0,0,0,0,364.221707787587,32.6569581274499
743,1.30560207366943,1.30560207366943,1.01784944534302,0.834696769714355,0.649736762046814,484.293358005506,43.422859142189
744,1.36013889312744,1.36013889312744,0.989907383918762,0.779803872108459,0.599441289901733,478.049193720615,42.8629929748722
745,1.64383769035339,1.64383769035339,1.46478962898254,1.33451199531555,1.16093969345093,563.541926716904,50.5284685408957
746,1.68309903144836,1.68309903144836,1.33295130729675,1.11900389194489,0.93074369430542,484.109669923349,43.4063892452025
747,1.55327439308167,1.55327439308167,1.27536070346832,1.06233334541321,0.880955398082733,495.349932347801,44.4142170915069
748,1.61828017234802,1.61828017234802,1.25802338123322,1.0417605638504,0.851998746395111,489.33287175127,43.8747135645347
749,1.61676347255707,1.61676347255707,1.25586259365082,1.03943395614624,0.850154042243958,492.555822244144,44.1636907370705
750,0,0,0,0,0,1080.57746247896,96.887066836284
751,0,0,0,0,0,1072.19748336323,96.1356985865615
752,0,0,0,0,0,479.293124786227,42.9745267024194
753,0,0,0,0,0,477.044011843395,42.7728660500543
754,0,0,0,0,0,469.360657318836,42.0839587674241
755,0,0,0,0,0,476.057913984051,42.6844502422821
756,0,0,0,0,0,479.252405824215,42.9708757463973
757,0,0,0,0,0,1085.41862733938,97.3211368402252
758,0,0,0,0,0,1073.66260021926,96.2670643420787
759,0,0,0,0,0,478.880403340897,42.9375211459951
762,0.875585317611694,0.875585317611694,0.721981883049011,0.538355588912964,0.359150588512421,112.632451574841,10.0988853114069
763,0.100417725741863,0.100417725741863,0,0,0,47.0105183838571,4.21507147318817
792,0,0,0,0,0,14.8997049582586,1.3359419016754
793,0,0,0,0,0,21.049994436391,1.88739103736557
851,0,0,0,0,0,25.1265439266365,2.25290386419868
852,0,0,0,0,0,17.417808746114,1.56172089343314
1222,0.793699979782104,0,0,0,0,84.1341484324621,20.0623148011908
2673,0,0,0,0,0,729.562638736552,55.6495712846937
2818,0,0,0,0,0,394.022531806718,93.9571412933986
2852,0,0,0,0,0,1078.07503376173,257.073746030656
2853,0.793699979782104,0,0,0,0,83.708586589534,19.9608369135641
2861,1.46966242790222,0,0,0,0,505.701269140913,120.587635887359
2922,1.40489995479584,0,0,0,0,156.903209012302,37.4145532006987
3163,0.043412499129772,0,0,0,0,503.383393867435,229.059212670912
3166,0.566632032394409,0,0,0,0,3187.39686983299,1450.39074861883
