,Elevation,Wet_proof,Dry_proof
Intercept,-3.6233926212230037,-3.067294252426751,-2.7510912005209494
fl_dam,1.3180118693450353,0.9436633828859963,-0.04184186264504472
fl_30_prob,0.29769880272806143,0.003642221381798423,-0.20149468207804114
worry,5.005492464600587,4.006501665853384,2.1784454636108865
fl_dam:worry,-4.908333690776435,-3.32818231093417, 0
RE,0.5282042307658265,0.24580600998494428,0.5212663926142522
SE,2.5819496326381337,3.6534240280843284,2.9346651278041462
PC,-1.9732741109970284,-1.5201217815320065,-1.5595760778608136
fl_exp,0.7301465875481473,0.567697874772671,0.6824005288926855
soc_exp,1.9112309009030117,0.9905395315291907,1.614780396902222
soc_net,1.7058519419787357,2.6250115732110824,2.2875885825922206
UG_wet_proof_bi,-0.30926738128385517,,0.262583321590109
UG_dry_proof_bi,-0.20494374746332905,0.05845586557926924,
S_UG1,,1.051334079499287,1.2400642821876027
