,Elevation,Wet_proof,Dry_proof
Intercept,-6.95326082650311,-4.99677787680285,-5.45241034382982
fl_dam,4.73352883380241,2.56069290744337,2.60434768385186
fl_30_prob,-0.171972598314727,-0.509603031528772,-0.689970233150119
worry,2.40599452258518,1.67495174562041,1.5483049668009
fl_dam:worry,-2.31771981627034,-1.33590836381063,-1.162117754787
RE,0.188898511852011,0.26768219626005,0.0172297263136175
SE,0.689236444945801,0.675902935770349,0.687465517708416
PC,-0.790001983623159,-0.744894069445807,-0.502233294498916
fl_exp,0.216370545931741,0.857828631933269,0.204615960811803
soc_exp,0.56949978322187,0.447261204196679,0.529895198837416
soc_net,0.713534514508654,0.506200617679985,0.667664289318763
soc_exp:soc_net,-0.182470784791068,-0.144888314386283,-0.139891753397676
UG_dry_proof_bi,-0.842699336737748,0.758199023347864,
UG_wet_proof_bi,-1.19284871814446,,-0.911436048262622
S_UG1,,1.74982014480793,-0.138066066574898
