ID,Flood depth RP 1000,Flood depth RP 100,Flood depth RP 10
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0.336899995803833,0.033100001513958,0
25,0.228000000119209,0.0245999991893768,0
26,0.151199996471405,0.0245999991893768,0
27,0.228000000119209,0.025000000372529,0
28,0.110699996352196,0.0399999991059303,0
29,0.0294000003486872,0.00999999977648258,0
30,0,0.00400000018998981,0
31,0,0,0
32,0,0,0
33,0,0.00490000005811453,0
34,0.361099988222122,0.0443000011146069,0
35,0.352899998426437,0.0423999987542629,0
36,0.342400014400482,0.0399999991059303,0
37,0.332300007343292,0.0315999984741211,0
38,0.32820001244545,0.0320999994874001,0
39,0.326499998569489,0.02280000038445,0
40,0.331999987363815,0.0368000008165836,0
41,0.408399999141693,0.0142000000923872,0
42,0.393200010061264,0.0165999997407198,0
43,0.408399999141693,0.0172000005841255,0
44,0.400000005960464,0.067500002682209,0
45,0.378600001335144,0.0107000004500151,0
46,0.0294000003486872,0.0113000003620982,0
47,0.400000005960464,0.0113000003620982,0
48,0.400000005960464,0.0113000003620982,0
49,0,0.00999999977648258,0
50,0,0,0
51,0.280400007963181,0.209999993443489,0
52,0,0,0
53,0.817200005054474,0.359100013971329,0
54,0.809499979019165,0.346100002527237,0
55,0.654699981212616,0.224900007247925,0
56,0.482300013303757,0.381000012159348,0
57,0.796000003814697,0.346100002527237,0
58,0.662800014019012,0.232800006866455,0
59,0.815599977970123,0.323100000619888,0
60,0.724200010299683,0.274500012397766,0
61,0.796000003814697,0.287499994039536,0
62,0.785700023174286,0.339399993419647,0
63,0,0,0
64,0.28150001168251,0,0
65,0.281800001859665,0,0
66,0.281699985265732,0,0
67,0.182799994945526,0,0
68,0.0711999982595444,0,0
69,0,0,0
70,0,0,0
71,0.329800009727478,0.024100000038743,0
